recommendation_type,entity_type,entity_id,customer_segment,priority,recommendation,business_reason
Reactivation Campaign,Customer,CUST02173,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02174,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02175,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST02176,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST02177,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02178,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02179,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02180,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02181,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST02182,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02183,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02184,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02185,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02186,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02187,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02188,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02189,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02190,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02191,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02192,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02193,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Second Booking Campaign,Customer,CUST02194,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Win-back Campaign,Customer,CUST02195,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST02196,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02197,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST02198,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST02199,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST02200,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02201,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST02202,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST02203,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02204,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02206,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST02207,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST02208,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02209,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST02210,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST02211,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02212,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02213,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02214,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02215,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02216,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02217,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02218,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST02219,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02220,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST02221,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST02222,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST02223,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02224,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
